NR_VOTAVEL;NM_VOTAVEL;NM_URNA;SG_PARTIDO;RESULTADO;TOTAL_VOTOS
33999;Adelson Jos? De Fran?a;Professor Adelson Do Morro;MOBILIZA;N?O ELEITO;69
11200;Thiago Rodrigo Barbosa De Souza;Thiago Da ?gua;PP;SUPLENTE;68
15543;Claudio Ricardo Mendon?a Da Silva;Cl?udio Mendon?a;MDB;SUPLENTE;66
25333;Geraldo Lima Da Rocha;Geraldo Rocha;PRD;SUPLENTE;65
23005;Eriberto Felix De Menezes;Belo Belo Da Bomba;CIDADANIA;N?O ELEITO;63
23333;C?cero Carlos Siqueira Laurindo;Cicero Carlos;CIDADANIA;N?O ELEITO;63
27190;Joaquim Fortunato Da Silva;Sargento Fortunato;DC;N?O ELEITO;62
25567;Luzinete Maria Da Concei??o;Ti?ta Do Agreste;PRD;SUPLENTE;61
30236;Ana Paula Da Silva Alves;Paula Alves;NOVO;SUPLENTE;61
45087;Nicolle Monteiro De Queiroga;Ni Queiroga;PSDB;N?O ELEITO;61
50400;?talo Vin?cius Ramos De Oliveira;?talo Vin?cius;PSOL;SUPLENTE;60
22344;Mercia Damiana Da Silva;M?rcia De Malaquias;PL;SUPLENTE;58
33149;Severino Barros De Oliveira;Severino Toque De Carinho;MOBILIZA;N?O ELEITO;57
33188;Dayse Helena Gomes;Dayse Helena ;MOBILIZA;N?O ELEITO;56
25255;Nazar? Arcelino Da Silva;Nazar? Silva;PRD;SUPLENTE;55
33010;Abel Francisco Da Silva Filho;Abel Filho;MOBILIZA;N?O ELEITO;54
50177;Severino Genario Da Silva;Severino Motoboy;PSOL;SUPLENTE;54
15013;Marina Soares De Souza;Marina Souza;MDB;SUPLENTE;52
70874;Adriana Costa Da Silva;Adri Uchoa;AVANTE;SUPLENTE;51
22500;Dalva Maria Do Carmo;Dalva De Jesus;PL;SUPLENTE;48
33456;Valmir Jose Leonardo;Irm?o Valmir ;MOBILIZA;N?O ELEITO;48
27772;X?nia Jacinto Santos;X?nia;DC;N?O ELEITO;47
11300;Jose Carlos Ferreira Dos Santos;Jos? Carlos Corredor;PP;SUPLENTE;46
11311;Maciel Francisco Dias;Maciel Flores;PP;SUPLENTE;46
30912;Edna Rodrigues Da Silva;Edna Rodrigues;NOVO;SUPLENTE;46
15415;Suzan Kevelin Lacerda Oliveira Brito;Bombom;MDB;SUPLENTE;45
27193;Adriano Salustiano Dos Santos;Adriano Bombeiro;DC;N?O ELEITO;45
15888;Rayane Da Silva Gondim;Rayane Gondim;MDB;SUPLENTE;44
27149;Eunice Maria Da Silva Santos;Nicinha Da Ur Dez;DC;N?O ELEITO;44
33125;Maria De Fatima Das Chagas;Irm? Fatima Chagas;MOBILIZA;N?O ELEITO;42
33433;Jaqueline Santos De Azevedo;Jaqueline Azevedo;MOBILIZA;N?O ELEITO;39
11010;Jefferson Gomes Feitoza;Jefferson Da Direita;PP;SUPLENTE;38
11022;Cintia Paloma Gomes Da Costa;Cintia Costa;PP;SUPLENTE;37
27192;Geronimo Pirro Junior;Junior Pirro;DC;N?O ELEITO;37
55699;Antonio Charles Lucena De Oliveira Mello;Charles Lucena;PSD;SUPLENTE;37
55551;Driane Julia Da Silva;Driane Julia;PSD;SUPLENTE;36
25888;?lvaro Soares De Melo Filho;?lvaro Filho;PRD;SUPLENTE;33
33777;Aderbal Pontes De Queiroz;Aderbal Pontes;MOBILIZA;N?O ELEITO;33
25789;Shertyanne Ferreira Da Silva;Shertyanne Ferreira;PRD;SUPLENTE;32
33620;Carlos Firmino Do Nascimento;Carl?o Da Sa?de;MOBILIZA;N?O ELEITO;32
23000;Larissa Maria Cal? Mesquita;Larissa Cal?;CIDADANIA;N?O ELEITO;30
23233;Durvanice Gon?alves De Oliveira;Branca Durvanice;CIDADANIA;N?O ELEITO;29
23723;Irenildo Jos? Flor?ncio;Djyjo Do Ibura;CIDADANIA;N?O ELEITO;27
27444;Elisangela Ar?cha De Oliveira Laurentino;Pod?loga Eli Ar?cha;DC;N?O ELEITO;27
43111;Lucas Medeiros De Azevedo;Lucas Recife;PV;SUPLENTE;27
25788;Ana Maria Viana Da Silva Souza;Anna Viana;PRD;SUPLENTE;25
27007;Egre Ara?jo Guerra;Egre Guerra;DC;N?O ELEITO;24
55121;Ericka De Sousa Rodrigues;Pastora Ericka;PSD;SUPLENTE;23
55321;Maria Da Concei??o Cunha Do Nascimento;Fia Da Ong;PSD;SUPLENTE;23
23646;Joaquim Marques Bezerra;Prof Joaquim;CIDADANIA;N?O ELEITO;20
27306;Elaine Pereira Do Nascimento;Professora Elaine;DC;N?O ELEITO;20
45013;Maria De F?tima Ferreira Mendes;F?tima Mendes;PSDB;N?O ELEITO;18
